
  ROL::Problem::finalize
    Problem Summary:
      Has Bound Constraint? .............. yes
      Has Equality Constraint? ........... no
      Has Inequality Constraint? ......... no
      Has Linear Equality Constraint? .... yes
        Names: ........................... Equality Linear Constraint
        Total: ........................... 1
      Has Linear Inequality Constraint? .. no


Lin-More Trust-Region Method (Type B, Bound Constraints)
  iter  value          gnorm          snorm          delta          #fval     #grad     #hess     #proj     tr_flag   
  72    9.432726e+00   1.242903e-03   1.189477e-01   4.917520e-01   73        63        84        277       0         
  73    9.432612e+00   1.157409e-03   1.079725e-01   4.917520e-01   74        64        85        281       0         
  74    9.432507e+00   1.123114e-03   1.005111e-01   5.901024e-01   75        65        86        285       0         
  75    9.432104e+00   2.356301e-03   4.835478e-01   5.901024e-01   76        66        88        290       0         
  76    9.432104e+00   2.356301e-03   5.143304e-01   3.857478e-01   77        66        89        292       2         
  77    9.432018e+00   2.757520e-03   2.571652e-01   3.857478e-01   78        67        90        295       0         
  78    9.431945e+00   3.115211e-03   2.946780e-01   3.857478e-01   79        68        91        299       0         
  79    9.431923e+00   3.641408e-03   3.326634e-01   3.857478e-01   80        69        92        303       0         
  80    9.431582e+00   9.979942e-04   1.957857e-01   3.857478e-01   81        70        93        306       0         
  81    9.431469e+00   1.977936e-03   2.488180e-01   3.857478e-01   82        71        95        311       0         
  82    9.431469e+00   1.977936e-03   2.698383e-01   2.023787e-01   83        71        96        313       2         
  83    9.431348e+00   1.091131e-03   1.349191e-01   2.023787e-01   84        72        97        316       0         
  84    9.431285e+00   9.283403e-04   7.418940e-02   2.023787e-01   85        73        98        320       0         
  85    9.431230e+00   8.890773e-04   6.157658e-02   2.428545e-01   86        74        99        324       0         
  86    9.431176e+00   9.064582e-04   6.064583e-02   2.914254e-01   87        75        100       328       0         
  87    9.431119e+00   9.277881e-04   6.183142e-02   3.497104e-01   88        76        101       332       0         
  88    9.430818e+00   1.030218e-03   3.098520e-01   4.196525e-01   89        77        103       337       0         
  89    9.430432e+00   1.239430e-03   3.513667e-01   5.035830e-01   90        78        104       341       0         
  90    9.430002e+00   2.162319e-03   4.000466e-01   5.035830e-01   91        79        105       345       0         
  91    9.430002e+00   2.162319e-03   3.559791e-01   2.669843e-01   92        79        106       347       2         
  92    9.429824e+00   1.761380e-03   1.820214e-01   2.669843e-01   93        80        107       350       0         
  93    9.429673e+00   1.559577e-03   1.501843e-01   2.669843e-01   94        81        108       354       0         
  94    9.429549e+00   1.289825e-03   1.222420e-01   2.669843e-01   95        82        109       358       0         
  95    9.429440e+00   1.219578e-03   1.099771e-01   2.669843e-01   96        83        110       362       0         
  96    9.429330e+00   1.189162e-03   1.039875e-01   2.669843e-01   97        84        111       366       0         
  97    9.429218e+00   1.180137e-03   1.013606e-01   3.203811e-01   98        85        112       370       0         
  98    9.429121e+00   1.025329e-03   8.982844e-02   3.844574e-01   99        86        113       374       0         
  99    9.429034e+00   1.027636e-03   8.742480e-02   4.613489e-01   100       87        114       378       0         
  100   9.428635e+00   1.436079e-03   4.171258e-01   5.536186e-01   101       88        116       383       0         
Optimization Terminated with Status: Iteration Limit Exceeded
