
  ROL::Problem::finalize
    Problem Summary:
      Has Bound Constraint? .............. yes
      Has Equality Constraint? ........... no
      Has Inequality Constraint? ......... no
      Has Linear Equality Constraint? .... yes
        Names: ........................... Equality Linear Constraint
        Total: ........................... 1
      Has Linear Inequality Constraint? .. no


Lin-More Trust-Region Method (Type B, Bound Constraints)
  iter  value          gnorm          snorm          delta          #fval     #grad     #hess     #proj     tr_flag   
  64    6.934647e-01   6.860949e-03   8.641022e-01   1.521295e+00   65        56        74        245       0         
  65    6.929604e-01   5.638312e-03   6.755599e-01   1.521295e+00   66        57        75        249       0         
  66    6.925977e-01   5.520256e-03   6.160548e-01   1.521295e+00   67        58        76        253       0         
  67    6.763459e-01   4.385305e-03   5.775790e-01   1.825554e+00   68        59        77        257       0         
  68    6.758344e-01   4.006168e-03   4.864296e-01   1.825554e+00   69        60        78        261       0         
  69    6.754457e-01   3.443247e-03   4.216848e-01   1.825554e+00   70        61        79        265       0         
  70    6.754457e-01   3.443247e-03   1.779105e+00   1.334329e+00   71        61        81        269       2         
  71    6.754457e-01   3.443247e-03   9.262347e-01   6.946760e-01   72        61        82        271       2         
  72    6.622568e-01   4.527716e-03   4.737976e-01   8.336112e-01   73        62        83        274       0         
  73    6.616915e-01   4.665513e-03   5.932244e-01   8.336112e-01   74        63        84        278       0         
  74    6.615676e-01   6.201942e-03   6.443780e-01   8.336112e-01   75        64        85        282       0         
  75    6.615676e-01   6.201942e-03   7.839521e-01   5.879641e-01   76        64        86        285       2         
  76    6.604942e-01   3.573087e-03   4.200322e-01   5.879641e-01   77        65        87        288       0         
  77    6.489746e-01   2.362493e-03   2.474172e-01   7.055569e-01   78        66        88        292       0         
  78    6.486026e-01   2.181506e-03   1.644655e-01   8.466683e-01   79        67        89        296       0         
  79    6.472408e-01   1.686393e-03   7.600095e-01   8.466683e-01   80        68        91        301       0         
  80    6.464621e-01   1.833575e-03   5.836602e-01   8.466683e-01   81        69        92        305       0         
  81    6.464621e-01   1.833575e-03   6.262846e-01   4.697134e-01   82        69        93        308       2         
  82    6.363632e-01   2.461805e-03   3.175187e-01   5.636561e-01   83        70        94        311       0         
  83    6.359673e-01   3.030631e-03   4.142105e-01   5.636561e-01   84        71        95        315       0         
  84    6.359673e-01   3.030631e-03   5.240347e-01   3.930260e-01   85        71        96        318       2         
  85    6.355851e-01   1.991544e-03   2.641947e-01   3.930260e-01   86        72        97        321       0         
  86    6.353390e-01   2.393719e-03   1.691792e-01   3.930260e-01   87        73        98        325       0         
  87    6.267855e-01   1.936926e-03   2.088005e-01   4.716312e-01   88        74        99        329       0         
  88    6.264803e-01   1.812101e-03   1.668091e-01   5.659575e-01   89        75        100       333       0         
  89    6.261995e-01   1.751338e-03   1.582106e-01   6.791490e-01   90        76        101       337       0         
  90    6.259363e-01   1.692946e-03   1.528842e-01   8.149788e-01   91        77        102       341       0         
  91    6.248681e-01   1.828402e-03   7.234682e-01   8.149788e-01   92        78        104       346       0         
  92    6.172373e-01   3.526333e-03   7.732214e-01   9.779745e-01   93        79        105       350       0         
  93    6.172373e-01   3.526333e-03   7.539176e-01   5.654382e-01   94        79        106       352       2         
  94    6.166615e-01   2.023282e-03   3.817221e-01   5.654382e-01   95        80        107       355       0         
  95    6.163697e-01   1.654362e-03   2.115341e-01   5.654382e-01   96        81        108       359       0         
  96    6.160967e-01   2.191243e-03   1.794417e-01   6.785258e-01   97        82        109       363       0         
  97    6.095689e-01   2.058928e-03   2.371633e-01   8.142310e-01   98        83        110       367       0         
  98    6.091309e-01   1.913896e-03   2.237879e-01   9.770772e-01   99        84        111       371       0         
  99    6.087598e-01   1.686905e-03   2.078804e-01   1.172493e+00   100       85        112       375       0         
  100   6.076785e-01   1.652346e-03   9.018534e-01   1.172493e+00   101       86        114       380       0         
Optimization Terminated with Status: Iteration Limit Exceeded
